"Package","Version"
"ape","5.8-1"
"broom.mixed","0.2.9.7"
"cli","3.6.5"
"coda","0.19-4.1"
"cowplot","1.2.0"
"datawizard","1.3.0"
"Deriv","4.2.0"
"DHARMa","0.4.7"
"doBy","4.7.1"
"doParallel","1.0.17"
"dplyr","1.2.0"
"emmeans","2.0.2"
"estimability","1.5.1"
"extrafont","0.20"
"extrafontdb","1.1"
"foreach","1.5.2"
"forecast","9.0.2"
"fracdiff","1.5-3"
"furrr","0.3.1"
"future","1.70.0"
"gap","1.14"
"gap.datasets","0.0.6"
"generics","0.1.4"
"ggeffects","2.3.2"
"ggplot2","4.0.2"
"ggpointdensity","0.2.1"
"ggthemes","5.2.0"
"glmmTMB","1.1.14"
"globals","0.19.1"
"gtable","0.3.6"
"insight","1.4.6"
"iterators","1.0.14"
"lifecycle","1.0.5"
"listenv","0.10.1"
"lme4","2.0-1"
"lmtest","0.9-40"
"microbenchmark","1.5.0"
"minqa","1.2.8"
"mvtnorm","1.3-6"
"nloptr","2.2.1"
"numDeriv","2016.8-1.1"
"parallelly","1.46.1"
"patchwork","1.3.2"
"pbkrtest","0.5.5"
"pillar","1.11.1"
"plotly","4.12.0"
"purrr","1.2.1"
"qgam","2.0.0"
"rbibutils","2.4.1"
"RcppEigen","0.3.4.0.2"
"Rdpack","2.6.6"
"reformulas","0.4.4"
"rlang","1.1.7"
"Rttf2pt1","1.3.14"
"S7","0.2.1"
"sandwich","3.1-1"
"scales","1.4.0"
"tibble","3.3.1"
"tidyr","1.3.2"
"tidyselect","1.2.1"
"timeDate","4052.112"
"TMB","1.9.21"
"urca","1.3-4"
"vctrs","0.7.2"
"abind","1.4-5"
"arrow","10.0.1"
"askpass","1.1"
"assertthat","0.2.1"
"backports","1.4.1"
"base64enc","0.1-3"
"BH","1.81.0-1"
"BiocManager","1.30.19"
"BiocVersion","3.16.0"
"bit","4.0.5"
"bit64","4.0.5"
"blob","1.2.3"
"blogdown","1.16"
"bookdown","0.32"
"brew","1.0-8"
"brio","1.1.3"
"broom","1.0.3"
"bslib","0.4.2"
"cachem","1.0.6"
"callr","3.7.3"
"cellranger","1.1.0"
"classInt","0.4-8"
"cli","3.6.5"
"clipr","0.8.0"
"coda","0.19-4.1"
"colorspace","2.1-0"
"commonmark","1.8.1"
"config","0.3.1"
"covr","3.6.1"
"cpp11","0.4.3"
"crayon","1.5.2"
"credentials","1.3.2"
"crosstalk","1.2.0"
"curl","5.0.0"
"data.table","1.14.6"
"DBI","1.1.3"
"dbplyr","2.3.0"
"deldir","1.0-6"
